TCID,ChEBI_ID_desc
3.A.10.1.15,CHEBI5584;hydron
1.A.2.2.5,CHEBI8345;potassium(1+)
1.A.10.1.13,CHEBI24870;ion
2.A.103.1.5,CHEBI61496;alpha-D-FucNAc4-(1-4)-beta-D-ManNAcA-(1-4)-D-GlcNAc-undecaprenyl diphosphate(3-)
1.C.14.1.5,CHEBI24870;ion
2.A.1.21.4,CHEBI23888;drug
1.B.8.8.5,CHEBI22563;anion
4.H.1.1.4,CHEBI60523;phosphatidylglycerol(1-)
1.G.11.1.1,CHEBI25367;molecule
3.A.2.1.14,CHEBI5584;hydron
1.A.3.1.7,CHEBI3308;calcium(2+)
1.W.2.1.7,CHEBI4291;deoxyribonucleic acid
1.B.6.1.13,CHEBI25367;molecule
3.A.1.23.3,CHEBI23337;cobalt(2+)
4.D.1.3.2,CHEBI24403;glycosyl group
2.A.49.2.1,CHEBI3731;chlorideCHEBI3178;bromideCHEBI5946;iodideCHEBI13967;chlorateCHEBI18022;thiocyanateCHEBI7580;nitric acid
2.A.29.23.5,CHEBI7793;phosphate(3-)
4.A.1.2.12,CHEBI9314;sucrose
1.C.75.1.6,CHEBI25367;molecule
1.A.9.5.7,CHEBI17996;chlorideCHEBI22563;anion
2.A.36.4.1,CHEBI9175;sodium(1+)CHEBI8345;potassium(1+)CHEBI5584;hydron
3.A.1.209.4,CHEBI8829;rhodamine 6GCHEBI59809;docetaxel trihydrateCHEBI7887;paclitaxelCHEBI2496;doxorubicinCHEBI36064;taxaneCHEBI22573;anthracycline antibiotic
2.A.13.1.1,CHEBI42511;fumarate(2-)CHEBI29995;aspartate(2-)
4.D.3.1.4,CHEBI3529;(1-4)-beta-D-glucan
2.A.30.5.3,CHEBI32588;potassium chloride
2.A.5.1.13,CHEBI48773;cadmium(2+)CHEBI29033;iron(2+)
1.B.57.3.1,CHEBI25367;molecule
3.A.1.208.12,CHEBI3098;bile acid
1.A.1.15.6,CHEBI8345;potassium(1+)
8.A.32.1.3,CHEBI25906;peptideCHEBI14911;protein
2.A.50.1.1,CHEBI5584;hydronCHEBI5448;glycerol
